iter	Passed	Remaining
143	28137	206344
144	28315	206019
145	28529	205960
146	28715	205698
147	28897	205405
148	29080	205122
149	29260	204821
150	29455	204624
151	29645	204396
152	29828	204123
153	30019	203895
154	30212	203687
155	30421	203592
156	30625	203457
157	30826	203298
158	31020	203099
159	31213	202887
160	31398	202625
161	31578	202337
162	31761	202062
163	31968	201946
164	32159	201726
165	32352	201519
166	32558	201394
167	32763	201263
168	32970	201138
169	33178	201020
170	33415	201081
171	33630	201000
172	33823	200792
173	34010	200546
174	34199	200313
175	34379	200025
176	34559	199743
177	34743	199480
178	34924	199208
179	35106	198939
180	35284	198648
181	35478	198446
182	35670	198232
183	35869	198063
184	36088	197998
185	36300	197894
186	36520	197833
187	36722	197676
188	36931	197551
189	37136	197412
190	37373	197435
191	37583	197311
192	37787	197162
193	37997	197037
194	38199	196875
195	38421	196813
196	38634	196700
197	38832	196518
198	39030	196331
199	39235	196175
200	39430	195973
201	39626	195778
202	39817	195554
203	40016	195375
204	40216	195195
205	40408	194982
206	40609	194809
207	40803	194599
208	40984	194333
209	41171	194096
210	41358	193855
211	41536	193578
212	41719	193320
213	41901	193061
214	42083	192802
215	42266	192546
216	42444	192273
217	42632	192040
218	42826	191840
219	43013	191605
220	43190	191330
221	43370	191066
222	43551	190805
223	43732	190546
224	43911	190281
225	44091	190021
226	44270	189759
227	44451	189503
228	44628	189232
229	44809	188977
230	44990	188725
231	45170	188469
232	45354	188229
233	45536	187984
234	45718	187737
235	45899	187486
236	46075	187219
237	46255	186964
238	46436	186717
239	46616	186465
240	46799	186226
241	46981	185984
242	47173	185783
243	47370	185597
244	47555	185369
245	47735	185118
246	47918	184883
247	48096	184627
248	48276	184380
249	48458	184141
250	48640	183905
251	48821	183661
252	49002	183420
253	49183	183180
254	49362	182932
255	49542	182688
256	49721	182442
257	49901	182198
258	50083	181964
259	50264	181723
260	50445	181487
261	50628	181258
262	50810	181023
263	50994	180797
264	51178	180572
265	51365	180358
266	51560	180173
267	51758	179994
268	51943	179775
269	52124	179540
270	52307	179312
271	52489	179081
272	52669	178844
273	52857	178635
274	53040	178408
275	53217	178163
276	53398	177929
277	53580	177702
278	53763	177476
279	53945	177249
280	54127	177021
281	54310	176799
282	54491	176566
283	54674	176343
284	54855	176115
285	55039	175896
286	55221	175669
287	55403	175443
288	55583	175213
289	55763	174981
290	55954	174784
291	56146	174591
292	56331	174376
293	56513	174153
294	56693	173924
295	56873	173694
296	57054	173469
297	57234	173241
298	57417	173021
299	57600	172802
300	57785	172589
301	57974	172386
302	58162	172182
303	58355	171993
304	58540	171782
305	58738	171608
306	58951	171476
307	59153	171315
308	59356	171153
309	59570	171025
310	59773	170864
311	59976	170702
312	60190	170570
313	60432	170520
314	60636	170359
315	60830	170172
316	61025	169986
317	61216	169788
318	61404	169584
319	61589	169370
320	61773	169155
321	61956	168938
322	62139	168718
323	62319	168492
324	62499	168268
325	62682	168051
326	62864	167831
327	63047	167613
328	63233	167404
329	63415	167185
330	63597	166967
331	63781	166753
332	63964	166537
333	64144	166315
334	64326	166096
335	64507	165877
336	64689	165657
337	64877	165457
338	65071	165269
339	65259	165068
340	65442	164853
341	65623	164635
342	65805	164418
343	65985	164195
344	66167	163979
345	66344	163751
346	66528	163541
347	66707	163317
348	66890	163105
349	67069	162883
350	67250	162666
351	67431	162447
352	67613	162233
353	67795	162019
354	67974	161798
355	68154	161580
356	68333	161358
357	68515	161145
358	68697	160932
359	68884	160730
360	69068	160521
361	69250	160308
362	69440	160115
363	69630	159921
364	69817	159719
365	70001	159511
366	70179	159289
367	70362	159080
368	70552	158887
369	70739	158685
370	70926	158486
371	71110	158277
372	71300	158083
373	71489	157888
374	71685	157707
375	71876	157515
376	72071	157334
377	72262	157142
378	72449	156941
379	72630	156728
380	72811	156516
381	72997	156314
382	73180	156105
383	73361	155894
384	73542	155680
385	73727	155476
386	73921	155293
387	74110	155097
388	74290	154884
389	74471	154670
390	74650	154455
391	74832	154245
392	75014	154038
393	75197	153829
394	75378	153619
395	75558	153406
396	75739	153197
397	75921	152988
398	76098	152769
399	76281	152563
400	76465	152359
401	76655	152167
402	76840	151964
403	77023	151758
404	77207	151554
405	77397	151363
406	77582	151162
407	77769	150964
408	77955	150764
409	78136	150555
410	78329	150370
411	78516	150172
412	78705	149978
413	78887	149771
414	79067	149561
415	79247	149350
416	79428	149142
417	79610	148936
418	79791	148728
419	79971	148518
420	80153	148312
421	80333	148103
422	80516	147898
423	80696	147689
424	80878	147484
425	81058	147274
426	81236	147063
427	81420	146861
428	81600	146652
429	81784	146451
430	81965	146244
431	82144	146034
432	82326	145830
433	82507	145623
434	82691	145423
435	82882	145234
436	83079	145057
437	83261	144852
438	83446	144653
439	83631	144454
440	83812	144249
441	83991	144039
442	84171	143832
443	84350	143624
444	84530	143417
445	84712	143212
446	84894	143010
447	85074	142803
448	85254	142596
449	85433	142388
450	85614	142184
451	85796	141982
452	85972	141769
453	86152	141563
454	86334	141360
455	86515	141157
456	86698	140955
457	86878	140751
458	87057	140543
459	87244	140350
460	87430	140154
461	87616	139959
462	87804	139765
463	87985	139563
464	88166	139360
465	88349	139160
466	88530	138956
467	88712	138755
468	88893	138551
469	89075	138351
470	89257	138149
471	89438	137947
472	89619	137745
473	89800	137543
474	89981	137340
475	90162	137137
476	90343	136935
477	90523	136732
478	90701	136525
479	90883	136325
480	91062	136120
481	91240	135913
482	91418	135707
483	91606	135517
484	91798	135331
485	91991	135148
486	92172	134946
487	92352	134743
488	92530	134537
489	92716	134344
490	92917	134172
491	93101	133975
492	93281	133772
493	93462	133572
494	93642	133369
495	93824	133170
496	94007	132971
497	94185	132766
498	94362	132561
499	94543	132361
500	94723	132159
501	94904	131958
502	95083	131755
503	95265	131556
504	95447	131358
505	95626	131155
506	95805	130953
507	95987	130754
508	96178	130568
509	96372	130386
510	96552	130184
511	96734	129987
512	96916	129789
513	97101	129594
514	97282	129395
515	97460	129192
516	97641	128993
517	97826	128798
518	98007	128599
519	98183	128393
520	98374	128208
521	98561	128016
522	98753	127831
523	98949	127652
524	99136	127460
525	99316	127261
526	99502	127068
527	99680	126865
528	99864	126670
529	100044	126471
530	100226	126274
531	100408	126077
532	100596	125887
533	100789	125703
534	100975	125512
535	101157	125313
536	101336	125114
537	101564	124973
538	101750	124781
539	101942	124596
540	102130	124406
541	102329	124230
542	102516	124039
543	102708	123854
544	102910	123681
545	103094	123486
546	103274	123288
547	103453	123086
548	103635	122890
549	103814	122689
550	103996	122493
551	104177	122294
552	104358	122097
553	104540	121901
554	104718	121700
555	104896	121499
556	105085	121310
557	105277	121125
558	105461	120931
559	105643	120735
560	105823	120536
561	106005	120340
562	106184	120140
563	106363	119942
564	106545	119746
565	106728	119550
566	106911	119356
567	107091	119158
568	107273	118962
569	107452	118763
570	107631	118563
571	107812	118367
572	107993	118171
573	108177	117978
574	108360	117782
575	108541	117586
576	108724	117392
577	108905	117196
578	109086	116999
579	109267	116803
580	109454	116613
581	109647	116429
582	109843	116249
583	110025	116054
584	110208	115860
585	110404	115679
586	110589	115488
587	110774	115296
588	110970	115115
589	111157	114925
590	111341	114733
591	111533	114548
592	111718	114356
593	111899	114159
594	112080	113964
595	112262	113769
596	112445	113576
597	112629	113382
598	112808	113185
599	112990	112990
600	113172	112796
601	113358	112605
602	113538	112409
603	113722	112216
604	113917	112034
605	114121	111861
606	114315	111678
607	114505	111491
608	114724	111334
609	114914	111146
610	115104	110960
611	115293	110772
612	115484	110585
613	115680	110405
614	115887	110234
615	116085	110054
616	116290	109881
617	116483	109697
618	116679	109516
619	116872	109331
620	117063	109146
621	117262	108967
622	117455	108782
623	117647	108598
624	117847	108420
625	118041	108236
626	118238	108055
627	118433	107872
628	118630	107691
629	118816	107500
630	118997	107305
631	119180	107111
632	119360	106915
633	119540	106718
634	119720	106522
635	119899	106326
636	120077	106128
637	120259	105934
638	120440	105738
639	120622	105544
640	120801	105347
641	120979	105150
642	121161	104956
643	121342	104761
644	121521	104565
645	121700	104368
646	121882	104174
647	122065	103981
648	122247	103787
649	122428	103593
650	122608	103398
651	122794	103207
652	122983	103019
653	123171	102831
654	123352	102637
655	123533	102442
656	123715	102248
657	123900	102057
658	124083	101864
659	124265	101671
660	124444	101476
661	124629	101285
662	124812	101092
663	124998	100902
664	125189	100716
665	125372	100524
666	125567	100341
667	125758	100154
668	125945	99966
669	126134	99777
670	126329	99594
671	126524	99411
672	126713	99224
673	126897	99032
674	127079	98839
675	127258	98644
676	127447	98456
677	127641	98273
678	127822	98078
679	128003	97885
680	128187	97693
681	128368	97500
682	128549	97305
683	128732	97114
684	128909	96917
685	129091	96724
686	129273	96531
687	129452	96337
688	129631	96141
689	129815	95950
690	129996	95757
691	130180	95565
692	130360	95372
693	130541	95178
694	130723	94986
695	130902	94791
696	131083	94597
697	131262	94403
698	131444	94211
699	131623	94016
700	131815	93831
701	132018	93653
702	132203	93463
703	132383	93270
704	132564	93077
705	132744	92883
706	132925	92690
707	133106	92497
708	133287	92304
709	133471	92114
710	133651	91920
711	133834	91729
712	134014	91536
713	134198	91344
714	134379	91152
715	134560	90959
716	134741	90767
717	134923	90575
718	135106	90384
719	135286	90191
720	135466	89998
721	135654	89810
722	135836	89618
723	136020	89427
724	136206	89239
725	136396	89052
726	136588	88866
727	136771	88676
728	136957	88486
729	137140	88295
730	137320	88103
731	137501	87910
732	137683	87719
733	137861	87525
734	138041	87332
735	138224	87141
736	138408	86951
737	138606	86770
738	138802	86586
739	138994	86402
740	139180	86213
741	139363	86022
742	139542	85828
743	139726	85638
744	139904	85445
745	140083	85252
746	140265	85060
747	140445	84867
748	140628	84677
749	140821	84492
750	141026	84315
751	141219	84130
752	141402	83940
753	141594	83754
754	141788	83570
755	141972	83380
756	142154	83189
757	142335	82997
758	142517	82806
759	142700	82616
760	142882	82425
761	143064	82233
762	143246	82043
763	143427	81851
764	143610	81661
765	143798	81473
766	143976	81279
767	144160	81090
768	144349	80903
769	144541	80717
770	144731	80531
771	144915	80341
772	145108	80156
773	145310	79976
774	145515	79798
775	145703	79611
776	145888	79422
777	146079	79236
778	146271	79050
779	146461	78863
780	146651	78677
781	146840	78490
782	147022	78299
783	147211	78112
784	147398	77923
785	147586	77736
786	147774	77548
787	147966	77363
788	148155	77176
789	148343	76988
790	148531	76800
791	148720	76613
792	148906	76424
793	149093	76236
794	149278	76047
795	149465	75859
796	149648	75669
797	149850	75488
798	150055	75309
799	150242	75121
800	150429	74933
801	150619	74746
802	150811	74560
803	150999	74372
804	151188	74185
805	151374	73996
806	151560	73808
807	151749	73621
808	151939	73434
809	152127	73246
810	152316	73059
811	152506	72872
812	152692	72683
813	152880	72495
814	153068	72308
815	153250	72117
816	153436	71929
817	153620	71739
818	153806	71550
819	153990	71361
820	154181	71175
821	154379	70992
822	154568	70804
823	154751	70614
824	154932	70423
825	155111	70232
826	155292	70041
827	155473	69850
828	155656	69660
829	155838	69470
830	156016	69278
831	156196	69086
832	156374	68895
833	156554	68703
834	156732	68511
835	156907	68318
836	157088	68127
837	157270	67937
838	157453	67748
839	157633	67557
840	157815	67367
841	157996	67176
842	158179	66986
843	158360	66796
844	158541	66606
845	158739	66422
846	158930	66236
847	159110	66045
848	159291	65855
849	159471	65664
850	159651	65474
851	159838	65286
852	160019	65095
853	160198	64904
854	160377	64713
855	160553	64521
856	160735	64331
857	160918	64142
858	161098	63951
859	161277	63760
860	161458	63570
861	161639	63380
862	161815	63188
863	161995	62998
864	162174	62807
865	162354	62616
866	162544	62430
867	162727	62241
868	162911	62052
869	163100	61865
870	163290	61679
871	163474	61490
872	163655	61300
873	163836	61110
874	164013	60919
875	164193	60728
876	164371	60538
877	164551	60348
878	164729	60157
879	164909	59967
880	165089	59777
881	165267	59586
882	165448	59396
883	165630	59207
884	165813	59018
885	165996	58829
886	166177	58639
887	166360	58450
888	166540	58260
889	166719	58070
890	166896	57879
891	167075	57689
892	167254	57499
893	167441	57312
894	167638	57128
895	167825	56940
896	168007	56751
897	168188	56562
898	168365	56371
899	168548	56182
900	168730	55993
901	168912	55804
902	169095	55615
903	169274	55426
904	169455	55236
905	169637	55047
906	169824	54860
907	170002	54670
908	170182	54480
909	170362	54291
910	170544	54102
911	170723	53912
912	170906	53724
913	171090	53535
914	171273	53347
915	171451	53157
916	171632	52968
917	171821	52781
918	172032	52602
919	172226	52416
920	172415	52229
921	172595	52040
922	172779	51852
923	172964	51664
924	173146	51476
925	173328	51287
926	173510	51098
927	173692	50909
928	173876	50721
929	174057	50532
930	174240	50344
931	174424	50156
932	174603	49966
933	174785	49778
934	174969	49590
935	175150	49401
936	175331	49212
937	175514	49024
938	175692	48834
939	175874	48646
940	176053	48456
941	176235	48268
942	176426	48082
943	176625	47898
944	176809	47710
945	176987	47521
946	177171	47333
947	177351	47143
948	177530	46954
949	177715	46767
950	177897	46578
951	178079	46390
952	178259	46201
953	178441	46013
954	178623	45824
955	178806	45636
956	178985	45447
957	179170	45260
958	179348	45070
959	179528	44882
960	179713	44694
961	179895	44506
962	180074	44317
963	180251	44128
964	180431	43939
965	180613	43751
966	180794	43562
967	180986	43376
968	181181	43191
969	181361	43003
970	181546	42815
971	181726	42627
972	181901	42437
973	182082	42249
974	182264	42060
975	182442	41872
976	182623	41683
977	182802	41495
978	182985	41307
979	183166	41118
980	183348	40931
981	183529	40742
982	183714	40555
983	183898	40367
984	184076	40179
985	184257	39991
986	184434	39802
987	184614	39613
988	184797	39425
989	184980	39238
990	185160	39049
991	185348	38863
992	185535	38676
993	185726	38490
994	185906	38302
995	186088	38114
996	186273	37927
997	186452	37738
998	186633	37550
999	186814	37362
1000	186997	37175
1001	187177	36987
1002	187355	36798
1003	187536	36610
1004	187717	36422
1005	187901	36235
1006	188084	36047
1007	188263	35859
1008	188446	35672
1009	188627	35484
1010	188809	35296
1011	188989	35108
1012	189171	34921
1013	189351	34733
1014	189532	34545
1015	189713	34357
1016	189902	34171
1017	190096	33985
1018	190281	33798
1019	190461	33610
1020	190644	33423
1021	190825	33235
1022	191007	33048
1023	191188	32860
1024	191367	32672
1025	191548	32484
1026	191733	32297
1027	191921	32111
1028	192099	31923
1029	192281	31735
1030	192460	31547
1031	192642	31360
1032	192824	31173
1033	193010	30986
1034	193194	30799
1035	193373	30611
1036	193554	30423
1037	193733	30235
1038	193913	30048
1039	194094	29860
1040	194275	29673
1041	194462	29486
1042	194647	29299
1043	194842	29114
1044	195023	28926
1045	195204	28739
1046	195388	28552
1047	195569	28364
1048	195749	28177
1049	195928	27989
1050	196111	27802
1051	196292	27615
1052	196474	27428
1053	196653	27240
1054	196837	27053
1055	197022	26866
1056	197204	26679
1057	197382	26491
1058	197562	26304
1059	197741	26116
1060	197922	25929
1061	198104	25742
1062	198286	25555
1063	198469	25368
1064	198649	25180
1065	198831	24993
1066	199011	24806
1067	199200	24620
1068	199393	24434
1069	199574	24247
1070	199755	24060
1071	199934	23872
1072	200119	23686
1073	200299	23498
1074	200480	23311
1075	200661	23124
