iter	Accuracy	MultiClass
319	0.9121	0.4855353599
320	0.9125	0.484405609
321	0.9131	0.483297868
322	0.9134	0.4820640768
323	0.9134	0.4808821633
324	0.914	0.4796369995
325	0.9144	0.4783336564
326	0.9145	0.4770764272
327	0.915	0.4759888079
328	0.915	0.4749325363
329	0.9151	0.4737904632
330	0.9159	0.4726990697
331	0.9161	0.4714014185
332	0.9162	0.4703043759
333	0.9165	0.4692983506
334	0.9169	0.4680986655
335	0.9173	0.4669429746
336	0.9173	0.4658168259
337	0.9177	0.4647199807
338	0.9181	0.4637617534
339	0.9181	0.462745712
340	0.9184	0.461625601
341	0.9187	0.4604705645
342	0.9187	0.4594553623
343	0.9188	0.4582246703
344	0.9192	0.4573281931
345	0.9196	0.456318278
346	0.9197	0.4552517754
347	0.9201	0.4542013395
348	0.9203	0.4530992793
349	0.9209	0.4520250796
350	0.9206	0.4509855074
351	0.9206	0.4498577042
352	0.9214	0.4487825272
353	0.9215	0.4476796816
354	0.9217	0.446691136
355	0.9214	0.4457425093
356	0.9219	0.4446769645
357	0.9224	0.4436174773
358	0.9232	0.4426694335
359	0.9235	0.4416502118
360	0.9235	0.4406514759
361	0.9237	0.4396982917
362	0.9238	0.4386562343
363	0.924	0.4375354618
364	0.924	0.4363846912
365	0.9242	0.4354015152
366	0.9239	0.4344552866
367	0.9241	0.4334349611
368	0.9245	0.4324008225
369	0.924	0.4313219032
370	0.9243	0.4303924693
371	0.9246	0.4293989323
372	0.9248	0.4283131124
373	0.9255	0.4272712171
374	0.9257	0.4263370641
375	0.9258	0.4253520894
376	0.9265	0.4244054384
377	0.9268	0.4233719043
378	0.9271	0.4223849386
379	0.9274	0.4214441705
380	0.9275	0.4204534711
381	0.9283	0.4195161401
382	0.9285	0.4186115202
383	0.9283	0.4176790524
384	0.9286	0.416818731
385	0.9286	0.4158418223
386	0.929	0.4148195993
387	0.929	0.4138952849
388	0.9288	0.4130268004
389	0.9289	0.4120435084
390	0.9292	0.4111123843
391	0.9302	0.4101998659
392	0.9304	0.4092194772
393	0.9302	0.408391751
394	0.931	0.4074011217
395	0.9311	0.4063999379
396	0.9313	0.4055573392
397	0.9315	0.4045910521
398	0.9319	0.4037291579
399	0.9323	0.4028017499
400	0.9323	0.4019993725
401	0.9322	0.4011802109
402	0.9328	0.4003448793
403	0.9332	0.399426612
404	0.9333	0.3985250863
405	0.9334	0.3976539059
406	0.9338	0.396795833
407	0.9339	0.396000246
408	0.9344	0.3951853922
409	0.9344	0.3943620525
410	0.9342	0.3935327291
411	0.9343	0.3927471953
412	0.9341	0.3918814235
413	0.9342	0.3910975622
414	0.9345	0.3902605135
415	0.9345	0.3894631414
416	0.9349	0.3885824467
417	0.9353	0.3878591427
418	0.9351	0.3870018221
419	0.9357	0.3861115779
420	0.9357	0.3852522199
421	0.9358	0.3844854129
422	0.9359	0.3836132584
423	0.9359	0.3828397965
424	0.9358	0.3819738365
425	0.9366	0.3810945115
426	0.9369	0.3803109313
427	0.937	0.379425789
428	0.9373	0.378587786
429	0.9377	0.377752918
430	0.9377	0.3769512414
431	0.9381	0.3761391233
432	0.9384	0.3752683538
433	0.9385	0.3744530477
434	0.9385	0.3736483864
435	0.9385	0.3729118987
436	0.9386	0.3721901104
437	0.9386	0.3713623671
438	0.9387	0.3707230728
439	0.9389	0.3699361621
440	0.9394	0.3691856307
441	0.9395	0.3684451631
442	0.9397	0.367648328
443	0.9397	0.366806434
444	0.94	0.3660226114
445	0.9403	0.3652603935
446	0.9409	0.3645497177
447	0.9408	0.3638844672
448	0.9405	0.3631892585
449	0.9407	0.3625392236
450	0.9411	0.361794368
451	0.9415	0.3610601567
452	0.9415	0.360277959
453	0.9418	0.3595998156
454	0.9419	0.3588523411
455	0.9417	0.3580860393
456	0.942	0.3572512251
457	0.9423	0.3565816656
458	0.942	0.3558639461
459	0.9422	0.3551132635
460	0.9425	0.3543212979
461	0.9428	0.353687074
462	0.9431	0.3529840041
463	0.9435	0.352160505
464	0.9433	0.3515377381
465	0.9433	0.3508388047
466	0.9436	0.3502756186
467	0.9438	0.3495690801
468	0.9441	0.348931917
469	0.9444	0.3481561889
470	0.9447	0.3474854012
471	0.9443	0.3468104163
472	0.9445	0.3461258374
473	0.9448	0.3454182463
474	0.9448	0.3446366357
475	0.9451	0.3439575755
476	0.9452	0.3431903225
477	0.9456	0.342495731
478	0.9456	0.3418319056
479	0.9455	0.341153129
480	0.9457	0.3404872325
481	0.9458	0.3398429545
482	0.946	0.3392217927
483	0.946	0.3385943686
484	0.946	0.3379364318
485	0.9461	0.3372727361
486	0.9465	0.3366560099
487	0.9468	0.3360082456
488	0.9469	0.335376786
489	0.9471	0.3347542752
490	0.9473	0.3341291353
491	0.9471	0.33353495
492	0.9472	0.3329110123
493	0.9474	0.3322869649
494	0.948	0.3316803606
495	0.9481	0.3309909951
496	0.9482	0.3303642624
497	0.9483	0.3297467264
498	0.9484	0.3291165521
499	0.9489	0.3284933457
500	0.949	0.3279167014
501	0.9489	0.3272934307
502	0.9488	0.3265843638
503	0.9487	0.3259293721
504	0.9489	0.3253182796
505	0.9489	0.3247008601
506	0.9492	0.3240030734
507	0.9494	0.3233903659
508	0.9496	0.3228008057
509	0.9496	0.3221527027
510	0.9498	0.3215584942
511	0.9497	0.3210086203
512	0.9498	0.320391904
513	0.9502	0.3198570099
514	0.9502	0.3192847042
515	0.9501	0.3186950701
516	0.9506	0.3181447481
517	0.9505	0.3175377462
518	0.9507	0.3170130829
519	0.9508	0.3164694777
520	0.9506	0.315888402
521	0.9506	0.3153666336
522	0.9508	0.3148757162
523	0.9507	0.3143064515
524	0.9511	0.3137175244
525	0.951	0.3131343201
526	0.9511	0.3126013994
527	0.9512	0.3120096787
528	0.9513	0.3114330553
529	0.9512	0.3108551942
530	0.9512	0.3103343616
531	0.9515	0.3097302553
532	0.9515	0.3091455519
533	0.9517	0.3085847118
534	0.952	0.3080997764
535	0.9519	0.3075607226
536	0.9523	0.3069784989
537	0.9522	0.3063641335
538	0.9522	0.3057679741
539	0.9526	0.3052652271
540	0.9524	0.3046747337
541	0.9526	0.3042003491
542	0.9526	0.3036496515
543	0.9527	0.3031463977
544	0.9529	0.302604427
545	0.9527	0.30209511
546	0.9526	0.3016177445
547	0.9528	0.3011009183
548	0.9529	0.300572096
549	0.953	0.3000528251
550	0.9532	0.299551393
551	0.9531	0.298995717
552	0.9534	0.2985039751
553	0.9536	0.2980069744
554	0.9536	0.2974623755
555	0.9535	0.2969654746
556	0.9535	0.2964848295
557	0.9537	0.2959599413
558	0.9539	0.2954587045
559	0.9536	0.2949533556
560	0.9537	0.2944295699
561	0.9541	0.2939984009
562	0.9546	0.2934980729
563	0.9548	0.2930562461
564	0.9549	0.2925962131
565	0.9549	0.2920524931
566	0.9552	0.2915586381
567	0.955	0.2911453695
568	0.9551	0.2906840407
569	0.9554	0.2902007405
570	0.9554	0.2897128403
571	0.9554	0.2891719276
572	0.9555	0.2886710851
573	0.9558	0.2881499379
574	0.9562	0.2876923821
575	0.9561	0.2871166651
576	0.956	0.2865918635
577	0.9562	0.2860875256
578	0.9562	0.2855999382
579	0.9564	0.2850962948
580	0.9562	0.2846144619
581	0.9567	0.2841155475
582	0.9565	0.2836870363
583	0.9568	0.2831985086
584	0.9572	0.2826963818
585	0.9572	0.2822401025
586	0.957	0.2817512311
587	0.9571	0.2813047829
588	0.9573	0.2807946403
589	0.9572	0.2803520984
590	0.9573	0.2798682998
591	0.9574	0.279387969
592	0.9574	0.278940946
593	0.9574	0.2784687263
594	0.9576	0.2779960392
595	0.9577	0.277505494
596	0.958	0.2770680963
597	0.958	0.2765891627
598	0.9581	0.2761735784
599	0.9582	0.2757474545
600	0.9583	0.2753162392
601	0.9583	0.2748537645
602	0.9589	0.2744467226
603	0.9588	0.2739703442
604	0.9589	0.2735368019
605	0.9591	0.2731101708
606	0.9592	0.2726423726
607	0.9591	0.2721793813
608	0.9594	0.271697758
609	0.9594	0.2712777411
610	0.9595	0.270837407
611	0.9592	0.2703960488
612	0.9594	0.2699659774
613	0.9596	0.2695852657
614	0.9601	0.2691054381
615	0.9599	0.2687219097
616	0.9599	0.2682764653
617	0.9602	0.2678189747
618	0.9602	0.2674328811
619	0.9604	0.2670227979
620	0.9602	0.2665743706
621	0.9606	0.2661573229
622	0.9605	0.2657621205
623	0.9608	0.2653155996
624	0.9608	0.2648435785
625	0.9609	0.2644533099
626	0.9608	0.264049181
627	0.9611	0.2636185092
628	0.9612	0.2632253171
629	0.9614	0.2628414984
630	0.9612	0.2624125608
631	0.9611	0.2620140828
632	0.9613	0.2616460622
633	0.9612	0.2612028043
634	0.9616	0.260853879
635	0.9617	0.260404107
636	0.9618	0.2599986823
637	0.962	0.2595858455
638	0.9619	0.2592285804
639	0.9617	0.2588030784
640	0.9625	0.258372562
641	0.9622	0.2579517456
642	0.9623	0.2575992757
643	0.9624	0.2572182359
644	0.9623	0.256819785
645	0.9626	0.2564124319
646	0.9626	0.256042086
647	0.9626	0.2556427265
648	0.9627	0.2552719705
649	0.9629	0.2548963365
650	0.9628	0.2544891458
651	0.963	0.2540867017
652	0.9631	0.2536667891
653	0.9631	0.253239542
654	0.9631	0.2528628083
655	0.9637	0.2524846365
656	0.9639	0.2521004071
657	0.964	0.2517181251
658	0.9641	0.2513529157
659	0.9642	0.2509846503
660	0.9647	0.250629881
661	0.965	0.2502079306
662	0.9648	0.2497767636
663	0.9649	0.2493679509
664	0.9644	0.2489676341
665	0.9649	0.2486102589
666	0.9649	0.2482234383
667	0.9651	0.2478363327
668	0.965	0.2474106423
669	0.9649	0.2470622041
670	0.9654	0.2466465635
671	0.9652	0.2462782019
672	0.9657	0.2458898735
673	0.9657	0.2454747751
674	0.9655	0.2451141424
675	0.9655	0.2447647027
676	0.9654	0.2444154473
677	0.9653	0.2440360322
678	0.9652	0.2436486853
679	0.965	0.2432854329
680	0.9652	0.2429513012
681	0.9654	0.242587531
682	0.9653	0.2422629809
683	0.9654	0.2419184104
684	0.9654	0.2415591113
685	0.9656	0.241176001
686	0.9656	0.2408197622
687	0.9657	0.2405249792
688	0.9656	0.2401450129
689	0.9658	0.2397744072
690	0.9662	0.2394227125
691	0.9663	0.2390335018
692	0.9663	0.2386773405
693	0.9667	0.238363513
694	0.9666	0.2380054333
695	0.9668	0.2376807684
696	0.9668	0.2372988698
697	0.967	0.2369423733
698	0.967	0.2365685466
699	0.9671	0.2361938823
700	0.9671	0.2358658921
701	0.9671	0.2355407194
702	0.9674	0.235196344
703	0.9675	0.2348104672
704	0.9677	0.2344648217
705	0.9677	0.2341601932
706	0.9678	0.233823081
707	0.9679	0.2335077829
708	0.968	0.2331585973
709	0.968	0.2328120995
710	0.9681	0.2324480722
711	0.9682	0.2321146834
712	0.968	0.2317806856
713	0.9683	0.2314608852
714	0.968	0.2311061803
715	0.968	0.2308054092
716	0.968	0.2304836859
717	0.968	0.2301360557
718	0.9681	0.2298057335
719	0.9683	0.2294878328
720	0.9687	0.2291968408
721	0.9688	0.2288570985
722	0.9689	0.2285471928
723	0.9689	0.2282210113
724	0.9689	0.2278718632
725	0.9687	0.2275933262
726	0.9689	0.227279884
727	0.9691	0.2269601548
728	0.9693	0.2266293845
729	0.9694	0.2263179374
730	0.9695	0.2260159057
731	0.9695	0.2257397001
732	0.9695	0.2253997317
733	0.9694	0.2250784075
734	0.9695	0.2247609471
735	0.9699	0.2243879368
736	0.97	0.2240502497
737	0.9699	0.2237075028
738	0.9701	0.2233715278
739	0.9703	0.2230743323
740	0.9701	0.2227408484
741	0.9704	0.2224432239
742	0.9704	0.2221584859
743	0.9706	0.2218241278
744	0.9706	0.2215063479
745	0.9707	0.2211932283
746	0.9709	0.2208713459
747	0.971	0.2205468857
748	0.9708	0.2202046338
749	0.9709	0.2198802722
750	0.9708	0.2195878517
751	0.9709	0.2192635506
752	0.9709	0.21893365
753	0.9711	0.2186356702
754	0.971	0.2183463254
755	0.9712	0.2180391961
756	0.9712	0.2177302229
757	0.9712	0.2174121179
758	0.9714	0.217166763
759	0.9718	0.2169025861
760	0.9715	0.2166138794
761	0.9717	0.2163398853
762	0.9718	0.2160741137
763	0.9717	0.2157940021
764	0.9719	0.2155201873
765	0.972	0.2152237283
766	0.972	0.2149321061
767	0.972	0.2146530464
768	0.9719	0.214336694
769	0.9721	0.2140450712
770	0.972	0.2137362116
771	0.9721	0.2134537285
772	0.9723	0.213199801
773	0.9722	0.2129097798
774	0.9725	0.2126308957
775	0.9725	0.2123538807
776	0.9727	0.2120916
777	0.9727	0.2117853828
778	0.9727	0.2114772207
779	0.9729	0.2111634625
780	0.973	0.2108629194
781	0.9733	0.2105925468
782	0.9733	0.2103359686
783	0.9733	0.2100532479
784	0.9733	0.2097708745
785	0.9734	0.2095123673
786	0.9735	0.2092570683
787	0.9733	0.2089720392
788	0.9733	0.2087125462
789	0.9734	0.2084489769
790	0.9736	0.2081819878
791	0.9737	0.2079205933
792	0.9736	0.2076512351
793	0.9739	0.2073629631
794	0.9742	0.2070903741
795	0.974	0.2068340951
796	0.9742	0.2065559034
797	0.9743	0.2062931905
798	0.9744	0.2060495705
799	0.9744	0.2057798273
800	0.9746	0.2055098677
801	0.9746	0.2052714825
802	0.9746	0.2050227852
803	0.9745	0.2047480948
804	0.9745	0.2044819687
805	0.9749	0.204198992
806	0.9747	0.2039256293
807	0.9747	0.2036436817
808	0.9748	0.2033693013
809	0.9748	0.2030941161
810	0.9747	0.2028454943
811	0.9749	0.202599138
812	0.9751	0.2023206167
813	0.9751	0.2020787287
814	0.9752	0.2018196516
815	0.975	0.201581821
816	0.9752	0.2013040144
817	0.9756	0.2010551927
818	0.9756	0.2007973729
819	0.9756	0.2005491642
820	0.9756	0.2002987658
821	0.9757	0.2000425437
822	0.9758	0.1997995231
823	0.9758	0.1995569264
824	0.9759	0.1993278807
825	0.976	0.1990640089
826	0.9759	0.1988161309
827	0.9759	0.1985878341
828	0.9761	0.1983459396
829	0.9761	0.198116499
830	0.9761	0.1978703216
831	0.9764	0.1976062302
832	0.9765	0.197336975
833	0.9767	0.1971059334
834	0.9771	0.1968642732
835	0.9769	0.1966375444
836	0.9768	0.1964058666
837	0.9768	0.196129933
838	0.9772	0.1958163219
839	0.9772	0.1955984262
840	0.9773	0.1953492111
841	0.9772	0.1951129897
842	0.9772	0.1948899165
843	0.9773	0.1946548726
844	0.9774	0.1944078745
845	0.9774	0.1941731968
846	0.9773	0.1939376308
847	0.9774	0.1936931361
848	0.9774	0.1934236863
849	0.9777	0.1931763279
850	0.9777	0.1929686001
851	0.9778	0.1926841598
852	0.9779	0.1924551602
853	0.9777	0.1922415427
854	0.9778	0.1920004093
855	0.9778	0.1917390076
856	0.9779	0.191516113
857	0.9781	0.1912886124
858	0.9782	0.1910465701
859	0.9784	0.1908336528
860	0.9781	0.1906018781
861	0.9784	0.1903775528
862	0.9783	0.1901508953
863	0.9784	0.1899061851
864	0.9784	0.1896780169
865	0.9783	0.1894455142
866	0.9785	0.1892107467
867	0.9787	0.1889667131
868	0.9785	0.1887508275
869	0.9786	0.1885188068
870	0.9786	0.1882849858
871	0.9786	0.1880594386
872	0.9791	0.187805997
873	0.9792	0.1875666042
874	0.979	0.1873376143
875	0.9791	0.1870770902
876	0.9791	0.186849247
877	0.9792	0.1866096848
878	0.9796	0.1864078532
879	0.9796	0.1861815576
880	0.9797	0.1859649917
881	0.9798	0.1857201399
882	0.9797	0.1854951585
883	0.9793	0.1852839445
884	0.9794	0.1850714509
885	0.9792	0.1848415381
886	0.9791	0.1846385097
887	0.9792	0.1844067928
888	0.9794	0.1841991422
889	0.9797	0.1839655974
890	0.9798	0.1837409304
891	0.9796	0.1835478039
892	0.9796	0.1833355941
893	0.9801	0.1831251703
894	0.9801	0.1829158512
895	0.9801	0.18270682
896	0.9806	0.182503317
897	0.9806	0.1822883723
898	0.9807	0.1820862156
899	0.9809	0.1818807218
900	0.981	0.1816600331
901	0.981	0.1814413416
902	0.981	0.1812272057
903	0.9811	0.1810163612
904	0.981	0.1808102347
905	0.9811	0.1805596015
906	0.9812	0.180331443
907	0.9813	0.1801077229
908	0.9814	0.1799048128
909	0.9814	0.1796912661
910	0.9817	0.1794612722
911	0.9814	0.1792496476
912	0.9814	0.1790358084
913	0.9817	0.1788248284
914	0.982	0.1786396037
915	0.9818	0.1784118379
916	0.9819	0.1782016481
917	0.982	0.1779961659
918	0.9819	0.1777851851
919	0.9819	0.1775741785
920	0.9821	0.1773596779
921	0.9821	0.1771465625
922	0.982	0.1769088069
923	0.9821	0.1767276811
924	0.9821	0.176526089
925	0.9821	0.176309975
926	0.9821	0.1761198475
927	0.982	0.175922719
928	0.9819	0.1757313829
929	0.9822	0.1755203558
930	0.9823	0.1753219031
931	0.9825	0.1751177738
932	0.9825	0.1749366093
933	0.9824	0.1747075421
934	0.9825	0.1745324899
935	0.9825	0.1743217856
936	0.9824	0.1741232756
937	0.9823	0.1739348705
938	0.9825	0.1737350721
939	0.9826	0.1735506925
940	0.9825	0.1733498793
941	0.9825	0.1731434546
942	0.9825	0.1729269377
943	0.9824	0.1727406455
944	0.9825	0.1725513212
945	0.9825	0.1723739017
946	0.9825	0.1721564605
947	0.9825	0.1719235805
948	0.9825	0.1717197286
949	0.9825	0.1715046446
950	0.9827	0.1713417163
951	0.983	0.1711371796
952	0.9831	0.1709381252
953	0.983	0.1707669177
954	0.9831	0.1705500719
955	0.9833	0.1703497194
956	0.9833	0.1701558937
957	0.9835	0.1699343178
958	0.9835	0.1697604786
959	0.9835	0.1695493341
960	0.9835	0.1693652521
961	0.9837	0.1691913046
962	0.9839	0.1689978173
963	0.9838	0.1688072697
964	0.984	0.1686122476
965	0.9841	0.1684303807
966	0.9841	0.1682030366
967	0.9841	0.1680128635
968	0.9843	0.1677977366
969	0.9842	0.167593125
970	0.9842	0.1673838968
971	0.9843	0.1671926079
972	0.9845	0.1669984616
973	0.9847	0.1667878396
974	0.9846	0.1666219798
975	0.9847	0.1664549827
976	0.9852	0.1662612482
977	0.9854	0.1660651516
978	0.9853	0.1658803184
979	0.9854	0.1657041562
980	0.9853	0.1655264558
981	0.9854	0.1653445176
982	0.9856	0.1651732427
983	0.9857	0.164964569
984	0.9858	0.1647841925
985	0.986	0.164593409
986	0.9861	0.1644150241
987	0.986	0.1642312066
988	0.9859	0.1640367434
989	0.9861	0.1638845791
990	0.9861	0.1637099282
991	0.9861	0.1635266358
992	0.9864	0.163330517
993	0.9865	0.1631248731
994	0.9863	0.1629369055
995	0.9864	0.162756242
996	0.9864	0.1625948456
997	0.9868	0.1623775896
998	0.9867	0.1622162525
999	0.9866	0.1620288027
1000	0.9867	0.1618403009
1001	0.9869	0.1616561669
1002	0.9871	0.1614808357
1003	0.987	0.1612780155
1004	0.9869	0.1610807543
1005	0.9871	0.1608832464
1006	0.9872	0.1607009871
1007	0.9874	0.1605508503
1008	0.9871	0.1603589964
1009	0.9873	0.1601785412
1010	0.9872	0.1600118841
1011	0.9871	0.1598233335
1012	0.9873	0.1596614332
1013	0.9872	0.1594914744
1014	0.9873	0.1593305291
1015	0.9874	0.1591642556
1016	0.9873	0.1589916635
